age,lag_days,tau,K,exp_K
2.0,2.0999910558893298,0.2623632815977036,0.2872074759081679,1.3327006880793497
2.0,2.1883582176477763,0.27202712256572037,0.29778642337025185,1.3468740963283627
2.0,2.2804438501374875,0.2819992252776497,0.30870282307355273,1.3616576571332424
2.0,2.376404425788993,0.2922862169989427,0.3199639298449305,1.3770780920197965
2.0,2.4764030013582836,0.30289466497328327,0.3315769328057844,1.3931633221188982
2.0,2.5806094949937797,0.31383106251055365,0.34354894014263426,1.4099425235826053
2.0,2.6892009749622137,0.3251018147232243,0.35588696349283416,1.4274461856130927
2.0,2.80236196052404,0.33671322396143527,0.36859790200044484,1.4457061712267667
2.0,2.920284735469609,0.34867147500187956,0.38168852610259546,1.4647557808814002
2.0,3.0431696748488766,0.36098262005026066,0.3951654611117657,1.4846298190998266
2.0,3.1712255854498315,0.3736525636214963,0.40903517066423745,1.5053646642296814
2.0,3.304670060604175,0.38668704736592124,0.4233039401094322,1.5269983414848751
2.0,3.443729849923151,0.4000916349134312,0.43797785991888805,1.5495705994209594
2.0,3.58864124459177,0.4138716968107314,0.45306280919715836,1.5731229900032921
2.0,3.7396504788761398,0.428032395629561,0.4685644393798761,1.5976989524339675
2.0,3.8970141485261283,0.44257867132586715,0.48448815820653135,1.6233439009108277
2.0,4.060999646784322,0.45751522693137253,0.5008391140571185,1.6501053164995756
2.0,4.231885618742145,0.4728465146597427,0.517622180742642,1.678032843308034
2.0,4.409962434815182,0.48857672250958634,0.5348419428395039,1.7071783891600154
2.0,4.5955326841422455,0.5047097614457685,0.5525026816569651,1.7375962309750344
2.0,4.788911688746551,0.5212492532389659,0.5706083619251816,1.7693431250693066
2.0,4.990428039332705,0.5381985190410279,0.5891626192887223,1.8024784226030892
2.0,5.200424153629888,0.5555605687705246,0.6081687486869928,1.8370641904094844
2.0,5.419256858230018,0.5733380913788805,0.6276296936986325,1.8731653374503843
2.0,5.647297994909514,0.5915334460627218,0.6475480369217251,1.9108497471562618
2.0,5.8849350524649715,0.6101486544825645,0.6679259914556429,1.9501884159180964
2.0,6.132571825136316,0.6291853940417533,0.6887653935435442,1.9912555980118272
2.0,6.39062909873628,0.6486449922727383,0.710067696427063,2.0341289572484373
2.0,6.65954536565205,0.6685284223703669,0.7318339654566329,2.078889725656084
2.0,6.9397775699340185,0.6888362999039961,0.7540648744922549,2.125622869514619
2.0,7.0,0.6931471805599453,0.7587839691178321,2.1356775909052295
2.0,7.23180188373772,0.709568880731968,0.7767607036204875,2.1744172630775003
2.0,7.5361145164382695,0.7307260601334374,0.7999213382040639,2.225365870331388
2.0,7.8532325577921425,0.7523073731638018,0.8235462692709775,2.278565935159797
2.0,8.183694856579041,0.7743119962311774,0.8476345952402426,2.3341191802940293
2.0,8.528062936216804,0.7967387498825744,0.8721850249719022,2.3921320154522316
2.0,8.886921948905186,0.8195861027797884,0.8971958821194117,2.4527157550859418
2.0,9.260881669919817,0.8428521768366255,0.9226651107533289,2.515986846172864
2.0,9.6505775337458,0.8665347534810289,0.9485902822164243,2.582067106514914
2.0,10.056671713811626,0.8906312809980652,0.9749686031620038,2.651083974021878
2.0,10.479854247658004,0.9151388829026448,1.001796924719475,2.723170767483288
2.0,10.920844209453602,0.9400543672843792,1.0290717527241036,2.798466959354501
2.0,11.380390931849947,0.9653742370611591,1.0567892589415442,2.8771184611073917
2.0,11.859275279251726,0.9910947010729667,1.0849452932121675,2.959277921721698
2.0,12.358310974666047,1.0172116859431128,1.1135353964354842,3.0451050399198647
2.0,12.878345982385166,1.043720848630567,1.142554814311104,3.1347668907762816
2.0,13.420263948852282,1.07061758959435,1.1719985117497151,3.2284382673612266
2.0,13.984985704158541,1.097897066489053,1.2018611878654855,3.326302038110531
2.0,14.573470826722824,1.1255542083094778,1.2321372914601127,3.4285495206442125
2.0,15.186719273812823,1.1535837299020806,1.262821036908414,3.535380872790953
2.0,15.825773080678108,1.1819801467613735,1.2939064203558555,3.6470055016105514
2.0,16.491718131182388,1.2107377900306098,1.32538723613971,3.763642491243353
2.0,17.1856860029435,1.2398508216279238,1.3572570933475507,3.885521050454181
2.0,17.908855890116588,1.2693132494215638,1.3895094324294843,4.012880980778696
2.0,18.662456607087464,1.2991189423808551,1.422137541783819,4.145973166222215
2.0,19.44776867648105,1.3292616456330582,1.4551345742397124,4.2850600855052825
2.0,20.26612650503269,1.3597349953601767,1.4884935633646188,4.430416347896292
2.0,21.11892065101963,1.3905325334740786,1.5222074395290524,4.582329253719887
2.0,22.007600187105616,1.4216477220128325,1.5562690456661685,4.741099380680266
2.0,22.933675162613348,1.4530739572059415,1.5906711526688895,4.907041197191368
2.0,23.898719169408917,1.4848045831610868,1.6254064743726995,5.080483703961164
2.0,24.904372015758064,1.5168329051299927,1.6604676820777036,5.26177110513499
2.0,25.952342512697637,1.5491522023160713,1.6958474185690802,5.451263510363348
2.0,27.04441137765714,1.581755740191515,1.7315383116005252,5.6493376692227475
2.0,28.1824342602638,1.6146367822964254,1.7675329868106868,5.85638773948422
2.0,29.368344895473083,1.6477886014973975,1.8038240800478682,6.072826090793366
2.0,30.0,1.6650077635889111,1.8226737912248325,6.188382792324071
2.0,30.604158389382015,1.681204490687596,1.8404042490833357,6.299084145397906
2.0,31.89197464330902,1.7148777729148463,1.8772661846984777,6.53561325763455
2.0,33.23398192195816,1.7488018109284564,1.9144026211356524,6.782885633965864
2.0,34.632460571730896,1.7829700161394837,1.9518063459069368,7.0413952954406644
2.0,36.0897868955038,1.817375856992875,1.9894702089590566,7.311659084537989
2.0,37.60843719045577,1.8520128667533289,2.0273871311965226,7.594217718445122
