age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
6.300000000000001,-1.0505655497312545,-1.616810917854309,0.5662453681230546,-1.3321032779582165,-0.29999999999999993,lambda0/beta are single scalars shared across heads (not per-head)
6.4,-1.0495393097400665,-1.616810917854309,0.5672716081142426,-1.332602449692003,-0.28888888888888886,lambda0/beta are single scalars shared across heads (not per-head)
6.5,-1.0485130697488785,-1.616810917854309,0.5682978481054306,-1.3331016214257896,-0.2777777777777778,lambda0/beta are single scalars shared across heads (not per-head)
6.6000000000000005,-1.0474868297576905,-1.616810917854309,0.5693240880966186,-1.3336007931595761,-0.2666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
6.7,-1.0464605897665025,-1.616810917854309,0.5703503280878066,-1.3340999648933627,-0.25555555555555554,lambda0/beta are single scalars shared across heads (not per-head)
6.800000000000001,-1.0454343497753142,-1.616810917854309,0.5713765680789948,-1.3345991366271492,-0.24444444444444435,lambda0/beta are single scalars shared across heads (not per-head)
6.9,-1.0444081097841262,-1.616810917854309,0.5724028080701828,-1.3350983083609358,-0.23333333333333328,lambda0/beta are single scalars shared across heads (not per-head)
7.0,-1.0433818697929382,-1.616810917854309,0.5734290480613708,-1.3355974800947223,-0.2222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
7.1000000000000005,-1.0423556298017502,-1.616810917854309,0.5744552880525589,-1.336096651828509,-0.21111111111111105,lambda0/beta are single scalars shared across heads (not per-head)
7.2,-1.0413293898105622,-1.616810917854309,0.5754815280437469,-1.3365958235622957,-0.19999999999999998,lambda0/beta are single scalars shared across heads (not per-head)
7.300000000000001,-1.040303149819374,-1.616810917854309,0.5765077680349351,-1.337094995296082,-0.1888888888888888,lambda0/beta are single scalars shared across heads (not per-head)
7.4,-1.039276909828186,-1.616810917854309,0.5775340080261231,-1.3375941670298686,-0.17777777777777773,lambda0/beta are single scalars shared across heads (not per-head)
7.5,-1.038250669836998,-1.616810917854309,0.5785602480173111,-1.338093338763655,-0.16666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
7.6000000000000005,-1.03722442984581,-1.616810917854309,0.5795864880084991,-1.3385925104974419,-0.1555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
7.7,-1.036198189854622,-1.616810917854309,0.5806127279996871,-1.3390916822312284,-0.14444444444444443,lambda0/beta are single scalars shared across heads (not per-head)
7.800000000000001,-1.0351719498634337,-1.616810917854309,0.5816389679908753,-1.339590853965015,-0.13333333333333325,lambda0/beta are single scalars shared across heads (not per-head)
7.9,-1.0341457098722457,-1.616810917854309,0.5826652079820633,-1.3400900256988015,-0.12222222222222218,lambda0/beta are single scalars shared across heads (not per-head)
8.0,-1.0331194698810577,-1.616810917854309,0.5836914479732513,-1.340589197432588,-0.1111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
8.1,-1.0320932298898697,-1.616810917854309,0.5847176879644393,-1.3410883691663746,-0.10000000000000003,lambda0/beta are single scalars shared across heads (not per-head)
8.200000000000001,-1.0310669898986817,-1.616810917854309,0.5857439279556274,-1.3415875409001612,-0.08888888888888877,lambda0/beta are single scalars shared across heads (not per-head)
8.3,-1.0300407499074935,-1.616810917854309,0.5867701679468156,-1.3420867126339477,-0.0777777777777777,lambda0/beta are single scalars shared across heads (not per-head)
8.4,-1.0290145099163055,-1.616810917854309,0.5877964079380036,-1.3425858843677343,-0.06666666666666662,lambda0/beta are single scalars shared across heads (not per-head)
8.5,-1.0279882699251175,-1.616810917854309,0.5888226479291916,-1.3430850561015208,-0.05555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
8.6,-1.0269620299339295,-1.616810917854309,0.5898488879203796,-1.3435842278353074,-0.04444444444444448,lambda0/beta are single scalars shared across heads (not per-head)
8.700000000000001,-1.0259357899427415,-1.616810917854309,0.5908751279115676,-1.3440833995690942,-0.033333333333333215,lambda0/beta are single scalars shared across heads (not per-head)
8.8,-1.0249095499515533,-1.616810917854309,0.5919013679027558,-1.3445825713028805,-0.022222222222222143,lambda0/beta are single scalars shared across heads (not per-head)
8.9,-1.0238833099603653,-1.616810917854309,0.5929276078939438,-1.3450817430366673,-0.011111111111111072,lambda0/beta are single scalars shared across heads (not per-head)
9.0,-1.0228570699691772,-1.616810917854309,0.5939538478851318,-1.3455809147704538,0.0,lambda0/beta are single scalars shared across heads (not per-head)
9.1,-1.0218308299779892,-1.616810917854309,0.5949800878763198,-1.3460800865042404,0.011111111111111072,lambda0/beta are single scalars shared across heads (not per-head)
9.200000000000001,-1.0208045899868012,-1.616810917854309,0.5960063278675078,-1.346579258238027,0.02222222222222234,lambda0/beta are single scalars shared across heads (not per-head)
