task,model,seed,BCE,AUROC,AUPRC,accuracy,beta_true,beta_hat,lambda0_hat,lambda0_true,n_params,best_epoch,attn_pearson,attn_spearman,attn_mae,attn_js,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_constant_se,delta_constant_median,delta_constant_frac_pos,delta_shuffle_mean,delta_shuffle_se,delta_shuffle_median,delta_shuffle_frac_pos
T2,no_age,3,0.2689189910888672,0.958856099956764,0.957955330782258,0.8956276445698167,-1.0,,,0.5,81156,29,-0.0049545262352677,-0.0097185841896702,0.1202337957478096,0.0778245276520611,0.2689190033340678,0.2689190033340678,0.2689190033340678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,3,0.2408121824264526,0.966176327015304,0.9654897999892372,0.9026798307475318,-1.0,,1.5862118005752563,0.5,81156,11,0.0035803526517723,-0.0051984686681442,0.1221642160449821,0.0845396068644083,0.2408121586179594,0.2408121586179594,0.2408121586179594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,3,0.252908706665039,0.9633311217241786,0.9611587227930612,0.8977433004231312,-1.0,,,0.5,81156,22,-0.004384157521654,-0.010588353818255,0.1198922745872438,0.0797916750165484,0.252908706339109,0.253043264210387,0.2530711651152481,0.000134557871278,6.687614792582885e-05,-3.0314549803733826e-07,0.4992947813822285,0.000162458776139,9.845223448789956e-05,-8.111586794257164e-06,0.4788434414668547
T2,age_temporal,3,0.1918758451938629,0.9797747346567124,0.9796873026078904,0.923836389280677,-1.0,-3.41614294052124,0.7036011815071106,0.5,81156,26,0.0081418031469793,0.0037981059842837,0.1154123460889375,0.0899105742572144,0.1918758015271267,1.890496419685609,2.4754933620542365,1.6986206181584822,0.0854825194482068,0.0133707288478035,0.7905500705218618,2.28361756052711,0.0990041157321534,0.0954660419374704,0.7059238363892807
T0,no_age,4,0.1450137645006179,0.9886438069526818,0.9885143605538164,0.9351198871650211,0.0,,,0.5,81156,19,0.0043439664565525,0.0059271945731748,0.1400276963234603,0.0964147746950623,0.1450137563921853,0.1450137563921853,0.1450137563921853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,4,0.1474055498838424,0.9873974926385828,0.9870783244410152,0.933709449929478,0.0,,0.8822228312492371,0.5,81156,14,0.0054912256393184,0.0083383706091745,0.1415096863106529,0.0994323793652029,0.1474055628222589,0.1474055628222589,0.1474055628222589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,4,0.1418334543704986,0.9888588260356256,0.9887347130622628,0.9330042313117066,0.0,,,0.5,81156,19,0.004674601765353,0.0079656121969239,0.1426210793879096,0.1005615112872712,0.1418334667677747,0.1418230380053737,0.1418288040568051,-1.0428762401054168e-05,3.549599061110365e-05,5.960464477539064e-08,0.5007052186177715,-4.662710969630735e-06,4.825538404069086e-05,5.960828275419773e-08,0.5035260930888575
T0,age_temporal,4,0.1530235111713409,0.9866907169492776,0.9859410005495588,0.933709449929478,0.0,0.1080313324928283,0.95289146900177,0.5,81156,18,0.004765207775831,0.0100577607629793,0.1400870793982642,0.0960690461059468,0.1530235072439816,0.1529095100240633,0.1531155099189516,-0.0001139972199182,0.0004455244094248,-3.576299150154228e-07,0.4802538787023977,9.200267497006188e-05,0.0006359965703987,4.768414783029584e-07,0.5239774330042313
T1,no_age,4,0.237486720085144,0.9685216872264224,0.9711489116834168,0.9040902679830748,1.0,,,0.5,81156,18,0.0262511901034594,0.0234871381556854,0.1301308782260818,0.1213919831739264,0.2374867078805717,0.2374867078805717,0.2374867078805717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,4,0.2369719445705413,0.968899721448468,0.9707715838560792,0.8913963328631875,1.0,,1.915737986564636,0.5,81156,12,0.0257486461419125,0.0222278191953791,0.1264193627724709,0.0908469304145521,0.2369719626036996,0.2369719626036996,0.2369719626036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,4,0.2577657103538513,0.962707918822125,0.9646034729518488,0.8829337094499294,1.0,,,0.5,81156,15,0.02798975928171,0.0234602726845322,0.1319555027775969,0.1189337928679084,0.2577657199368416,0.2581986029060288,0.2582170353623474,0.0004328829691871,0.0001008200449407,-1.0611489415168762e-05,0.4816643159379407,0.0004513154255057,0.0001486839250945,5.764886736869812e-07,0.5021156558533145
T1,age_temporal,4,0.2482639849185943,0.9836092319936331,0.9849893603133416,0.8815232722143864,1.0,1.908179521560669,0.3761115968227386,0.5,81156,11,0.0047692561157078,0.0091745583988179,0.0728064463826093,0.0409796995478246,0.2482639842970451,1.2794015083100727,1.6612591721933725,1.0311375240130274,0.04879019839704,0.1499926019459962,0.8363892806770099,1.4129951878963274,0.062030469866889,0.2076838798820972,0.7362482369534555
T2,no_age,4,0.2328768372535705,0.968501505288934,0.9672961158349878,0.8998589562764457,-1.0,,,0.5,81156,22,-0.0015853784301237,-0.0110752904829068,0.1183759258892113,0.1098240301861348,0.2328768391683481,0.2328768391683481,0.2328768391683481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,4,0.2451515346765518,0.9654072449128008,0.9660406464840224,0.8998589562764457,-1.0,,0.9637554883956908,0.5,81156,25,-0.0039982971217353,-0.0051951104842501,0.1357891436786619,0.1266386133099415,0.245151551878927,0.245151551878927,0.245151551878927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,4,0.2418144941329956,0.9666784220666792,0.9657709612206204,0.9012693935119888,-1.0,,,0.5,81156,25,-0.0030468286511852,-0.0094364967425616,0.1109478407635326,0.0767272632149814,0.2418144933061635,0.2416945932122287,0.2417833165441145,-0.0001199000939348,8.186714083458939e-05,-1.7939601093530658e-07,0.4992947813822285,-3.1176762048999696e-05,0.0001106484409246,1.1955853551626205e-07,0.5021156558533145
T2,age_temporal,4,0.2142284661531448,0.9729984439038288,0.9735504185374296,0.9040902679830748,-1.0,-2.592050075531006,-0.0309810433536767,0.5,81156,25,0.0010369137803607,-0.0016387937403452,0.1073966404331486,0.0761341113536946,0.2142284548511806,0.6408265110617046,1.3033654326221018,0.4265980562105239,0.0234951892375659,0.0472510001272894,0.7863187588152327,1.0891369777709212,0.0578253743632734,0.0421962583604909,0.6840620592383639
